CUST_CODE,LastPurshaceDate,Recency,Freqyency,Monetary,R_tertile,F_tertile,M_tertile,RFM_Score,segment_name
CUST0000084463,2008-05-16,51,6,57.75,2,2,1,221,About to sleep
CUST0000084563,2008-06-29,7,8,3.21,3,1,2,312,Recent customer
CUST0000085399,2008-06-30,6,15,19.88,3,1,1,311,Recent customer
CUST0000086836,2008-06-20,16,53,65.4,3,1,1,311,Recent customer
CUST0000086874,2007-09-05,305,1,2.26,1,3,2,132,Cannot Loose them
CUST0000087833,2007-10-29,251,1,2.11,1,3,2,132,Cannot Loose them
CUST0000089067,2007-10-18,262,1,0.42,1,3,3,133,Cannot Loose them
CUST0000089769,2008-05-29,38,1,0.95,2,3,3,233,Loyal
CUST0000090124,2008-07-06,0,2,6.42,3,2,2,322,potential Lotalist
CUST0000091321,2008-05-11,56,1,0.66,2,3,3,233,Loyal
CUST0000091658,2007-10-09,271,3,2.35,1,2,2,122,About to sleep
CUST0000091942,2008-02-18,139,5,5.04,1,2,2,122,About to sleep
CUST0000092378,2007-09-22,288,3,3.33,1,2,2,122,About to sleep
CUST0000092593,2007-09-26,284,1,0.83,1,3,3,133,Cannot Loose them
CUST0000092652,2008-05-19,48,1,0.88,2,3,3,233,Loyal
CUST0000093082,2008-03-06,122,1,1.0,1,3,3,133,Cannot Loose them
CUST0000093119,2008-05-02,65,8,8.84,2,1,2,212,About to sleep
CUST0000093261,2008-05-19,48,2,1.03,2,2,3,223,potential Lotalist
CUST0000093486,2008-04-05,92,3,8.11,2,2,2,222,Average
CUST0000093630,2007-08-21,320,1,0.92,1,3,3,133,Cannot Loose them
CUST0000093703,2008-05-30,37,1,1.49,2,3,3,233,Loyal
CUST0000094256,2008-05-22,45,5,10.67,2,2,1,221,About to sleep
CUST0000094339,2008-07-06,0,55,92.84,3,1,1,311,Recent customer
CUST0000094368,2007-11-30,219,1,0.88,1,3,3,133,Cannot Loose them
CUST0000096000,2008-06-11,25,10,11.94,2,1,1,211,About to sleep
CUST0000096328,2008-04-28,69,5,9.76,2,2,2,222,Average
CUST0000096515,2008-04-11,86,2,0.5900000000000001,2,2,3,223,potential Lotalist
CUST0000096587,2008-06-25,11,3,4.699999999999999,3,2,2,322,potential Lotalist
CUST0000097542,2008-04-30,67,2,0.78,2,2,3,223,potential Lotalist
CUST0000098319,2008-05-28,39,30,51.13,2,1,1,211,About to sleep
CUST0000098332,2008-05-15,52,3,5.29,2,2,2,222,Average
CUST0000099063,2007-07-13,359,1,0.75,1,3,3,133,Cannot Loose them
CUST0000099290,2008-06-30,6,28,43.43,3,1,1,311,Recent customer
CUST0000099658,2008-07-06,0,131,193.07,3,1,1,311,Recent customer
CUST0000100078,2007-08-08,333,1,1.26,1,3,3,133,Cannot Loose them
CUST0000100205,2008-05-12,55,3,4.0600000000000005,2,2,2,222,Average
CUST0000100452,2008-04-23,74,6,7.51,2,2,2,222,Average
CUST0000100599,2008-06-14,22,38,92.29,3,1,1,311,Recent customer
CUST0000100647,2008-06-22,14,7,7.65,3,1,2,312,Recent customer
CUST0000100984,2008-03-02,126,1,1.32,1,3,3,133,Cannot Loose them
CUST0000101102,2008-07-02,4,33,109.91,3,1,1,311,Recent customer
CUST0000101652,2007-07-10,362,1,0.35,1,3,3,133,Cannot Loose them
CUST0000102342,2008-05-10,57,8,8.34,2,1,2,212,About to sleep
CUST0000102772,2007-10-13,267,1,2.07,1,3,2,132,Cannot Loose them
CUST0000103205,2008-05-08,59,1,0.32,2,3,3,233,Loyal
CUST0000104213,2008-06-20,16,1,0.34,3,3,3,333,Campion
CUST0000105028,2008-07-03,3,12,11.33,3,1,1,311,Recent customer
CUST0000105393,2008-07-05,1,29,38.910000000000004,3,1,1,311,Recent customer
CUST0000105820,2008-06-29,7,25,27.69,3,1,1,311,Recent customer
CUST0000106314,2008-05-27,40,4,12.870000000000001,2,2,1,221,About to sleep
CUST0000106470,2008-06-11,25,4,7.3100000000000005,2,2,2,222,Average
CUST0000106510,2008-05-12,55,2,1.92,2,2,3,223,potential Lotalist
CUST0000107193,2008-07-03,3,47,60.5,3,1,1,311,Recent customer
CUST0000107633,2008-06-19,17,3,4.09,3,2,2,322,potential Lotalist
CUST0000108776,2008-07-01,5,55,95.66,3,1,1,311,Recent customer
CUST0000109647,2007-08-16,325,1,0.38,1,3,3,133,Cannot Loose them
CUST0000109773,2008-07-06,0,20,42.32,3,1,1,311,Recent customer
CUST0000109875,2008-05-19,48,21,27.3,2,1,1,211,About to sleep
CUST0000111024,2008-07-06,0,9,12.77,3,1,1,311,Recent customer
CUST0000111606,2008-04-03,94,7,36.4,2,1,1,211,About to sleep
CUST0000111873,2008-07-06,0,74,154.25,3,1,1,311,Recent customer
CUST0000112668,2008-07-04,2,11,7.37,3,1,2,312,Recent customer
CUST0000113277,2007-08-15,326,3,12.9,1,2,1,121,About to sleep
CUST0000113338,2007-07-15,357,1,0.86,1,3,3,133,Cannot Loose them
CUST0000114113,2007-12-23,196,4,6.340000000000001,1,2,2,122,About to sleep
CUST0000115145,2008-06-28,8,16,36.0,3,1,1,311,Recent customer
CUST0000115566,2008-07-03,3,31,49.02,3,1,1,311,Recent customer
CUST0000115925,2008-06-26,10,21,39.43,3,1,1,311,Recent customer
CUST0000116158,2008-06-28,8,14,15.19,3,1,1,311,Recent customer
CUST0000116224,2008-04-27,70,2,1.96,2,2,3,223,potential Lotalist
CUST0000116931,2007-11-07,242,1,2.03,1,3,3,133,Cannot Loose them
CUST0000117023,2008-04-06,91,5,9.52,2,2,2,222,Average
CUST0000117088,2007-10-04,276,1,0.34,1,3,3,133,Cannot Loose them
CUST0000117092,2008-04-25,72,1,0.23,2,3,3,233,Loyal
CUST0000117551,2008-04-12,85,3,9.790000000000001,2,2,2,222,Average
CUST0000117706,2008-06-03,33,5,6.47,2,2,2,222,Average
CUST0000118114,2008-03-31,97,1,2.41,2,3,2,232,Loyal
CUST0000118502,2008-06-12,24,6,12.709999999999999,2,2,1,221,About to sleep
CUST0000119345,2008-04-21,76,8,11.09,2,1,1,211,About to sleep
CUST0000119697,2008-05-13,54,3,7.41,2,2,2,222,Average
CUST0000120121,2008-01-03,185,2,1.6,1,2,3,123,Cannot Loose them
CUST0000120179,2008-01-05,183,1,1.0,1,3,3,133,Cannot Loose them
CUST0000120273,2008-06-22,14,21,46.81,3,1,1,311,Recent customer
CUST0000121005,2008-07-06,0,81,129.35,3,1,1,311,Recent customer
CUST0000121847,2008-02-28,129,3,2.34,1,2,2,122,About to sleep
CUST0000121862,2007-08-01,340,1,5.77,1,3,2,132,Cannot Loose them
CUST0000122195,2008-07-02,4,160,189.05,3,1,1,311,Recent customer
CUST0000122498,2008-04-12,85,5,10.05,2,2,1,221,About to sleep
CUST0000122926,2008-01-17,171,1,0.24,1,3,3,133,Cannot Loose them
CUST0000123905,2008-03-22,106,1,0.39,2,3,3,233,Loyal
CUST0000124175,2008-05-31,36,3,3.91,2,2,2,222,Average
CUST0000124183,2008-07-05,1,8,12.26,3,1,1,311,Recent customer
CUST0000124528,2008-04-19,78,4,6.21,2,2,2,222,Average
CUST0000124983,2008-05-23,44,2,1.25,2,2,3,223,potential Lotalist
CUST0000125235,2007-07-15,357,1,4.08,1,3,2,132,Cannot Loose them
CUST0000125360,2008-06-30,6,12,27.310000000000002,3,1,1,311,Recent customer
CUST0000125691,2008-06-14,22,2,1.79,3,2,3,323,Loyal
CUST0000126424,2007-09-15,295,2,1.48,1,2,3,123,Cannot Loose them
CUST0000126928,2008-05-29,38,16,12.879999999999999,2,1,1,211,About to sleep
CUST0000127841,2008-07-03,3,59,94.59,3,1,1,311,Recent customer
CUST0000128468,2008-05-31,36,1,0.01,2,3,3,233,Loyal
CUST0000128681,2008-06-03,33,19,87.69,2,1,1,211,About to sleep
CUST0000128698,2007-08-26,315,1,0.94,1,3,3,133,Cannot Loose them
CUST0000129097,2008-04-25,72,4,4.05,2,2,2,222,Average
CUST0000129371,2008-03-25,103,4,5.78,2,2,2,222,Average
CUST0000129689,2007-08-17,324,1,0.56,1,3,3,133,Cannot Loose them
CUST0000130205,2007-12-15,204,1,1.3,1,3,3,133,Cannot Loose them
CUST0000130319,2008-05-03,64,1,0.47,2,3,3,233,Loyal
CUST0000132217,2008-02-13,144,1,5.83,1,3,2,132,Cannot Loose them
CUST0000132530,2008-04-08,89,1,0.68,2,3,3,233,Loyal
CUST0000132570,2008-06-09,27,10,12.03,2,1,1,211,About to sleep
CUST0000132619,2007-12-10,209,6,8.53,1,2,2,122,About to sleep
CUST0000133531,2008-06-20,16,88,182.22,3,1,1,311,Recent customer
CUST0000133802,2007-08-28,313,1,4.91,1,3,2,132,Cannot Loose them
CUST0000134373,2008-03-16,112,1,2.32,1,3,2,132,Cannot Loose them
CUST0000134441,2008-04-10,87,1,0.92,2,3,3,233,Loyal
CUST0000134682,2008-06-08,28,1,3.09,2,3,2,232,Loyal
CUST0000135248,2008-04-22,75,4,5.21,2,2,2,222,Average
CUST0000135397,2008-07-05,1,59,89.86,3,1,1,311,Recent customer
CUST0000135420,2008-05-31,36,1,0.98,2,3,3,233,Loyal
CUST0000135491,2008-04-18,79,1,1.99,2,3,3,233,Loyal
CUST0000136043,2008-06-24,12,60,73.53,3,1,1,311,Recent customer
CUST0000136191,2008-02-05,152,1,0.77,1,3,3,133,Cannot Loose them
CUST0000136384,2008-06-09,27,27,45.67,2,1,1,211,About to sleep
CUST0000136845,2008-04-17,80,2,1.53,2,2,3,223,potential Lotalist
CUST0000136920,2008-05-25,42,1,0.67,2,3,3,233,Loyal
CUST0000137326,2007-11-30,219,3,2.12,1,2,2,122,About to sleep
CUST0000137987,2008-06-28,8,27,49.59,3,1,1,311,Recent customer
CUST0000138092,2008-07-06,0,112,145.31,3,1,1,311,Recent customer
CUST0000139488,2007-10-09,271,1,0.63,1,3,3,133,Cannot Loose them
CUST0000140076,2007-11-04,245,1,1.02,1,3,3,133,Cannot Loose them
CUST0000140340,2008-06-28,8,8,23.33,3,1,1,311,Recent customer
CUST0000140448,2008-07-05,1,15,23.76,3,1,1,311,Recent customer
CUST0000140459,2008-05-31,36,1,2.09,2,3,2,232,Loyal
CUST0000140993,2008-05-16,51,3,4.3100000000000005,2,2,2,222,Average
CUST0000141225,2007-08-30,311,1,0.85,1,3,3,133,Cannot Loose them
CUST0000141402,2008-05-14,53,1,22.32,2,3,1,231,Average
CUST0000141780,2008-06-30,6,17,15.18,3,1,1,311,Recent customer
CUST0000141947,2007-11-18,231,1,0.37,1,3,3,133,Cannot Loose them
CUST0000142044,2008-07-03,3,65,104.47,3,1,1,311,Recent customer
CUST0000142138,2008-06-25,11,9,13.25,3,1,1,311,Recent customer
CUST0000143651,2007-10-02,278,1,1.11,1,3,3,133,Cannot Loose them
CUST0000143785,2008-03-27,101,2,3.08,2,2,2,222,Average
CUST0000144177,2007-08-09,332,1,2.11,1,3,2,132,Cannot Loose them
CUST0000144430,2007-08-16,325,1,3.65,1,3,2,132,Cannot Loose them
CUST0000144475,2008-06-03,33,4,5.84,2,2,2,222,Average
CUST0000144476,2008-03-05,123,2,1.63,1,2,3,123,Cannot Loose them
CUST0000144580,2008-05-25,42,7,9.29,2,1,2,212,About to sleep
CUST0000144754,2008-03-12,116,3,4.48,1,2,2,122,About to sleep
CUST0000144953,2008-07-01,5,30,38.56,3,1,1,311,Recent customer
CUST0000145018,2008-06-22,14,2,1.37,3,2,3,323,Loyal
CUST0000145600,2008-06-02,34,3,8.81,2,2,2,222,Average
CUST0000145980,2008-06-30,6,11,18.169999999999998,3,1,1,311,Recent customer
CUST0000146080,2008-07-05,1,120,166.1,3,1,1,311,Recent customer
CUST0000146678,2008-01-05,183,1,3.58,1,3,2,132,Cannot Loose them
CUST0000147574,2008-07-03,3,31,46.82,3,1,1,311,Recent customer
CUST0000147587,2008-03-11,117,2,1.96,1,2,3,123,Cannot Loose them
CUST0000147695,2008-05-21,46,1,2.49,2,3,2,232,Loyal
CUST0000147735,2008-05-28,39,5,2.5700000000000003,2,2,2,222,Average
CUST0000147841,2008-06-24,12,18,31.61,3,1,1,311,Recent customer
CUST0000147932,2008-01-13,175,3,2.93,1,2,2,122,About to sleep
